# 137,cat137 -># 406,cat406|Топоры
#1|Топор кованый 0.8 кг с фиберглассовым топорищем 395 мм              |137|21645| 429,00| 414,00| 398,00||norow|| СИБРТЕХ <span class="art">арт. 21645</span>|</span></p><UL><LI>Полотно выполнено из стали марки <b>У8</b>.<LI>Рабочая кромка заточена под углом <b>20-30°</b> и имеет твердость в пределах 25 мм от кромки <b>48-57 HRC</b>.<LI>Фибергласовое топорище обеспечивает амортизацию при ударе и удобно лежит в руке.<LI>Общая длина <b>410 мм</b>, общий вес <b>1.18 кг</b>.</UL><p><span class="addt">||/img/pic/instr/small/21645.jpg|/img/pic/instr/big/21645.jpg
#0|Топор кованый 0.8 кг с фиберглассовым топорищем 395 мм СИБРТЕХ      |137|21645| 429,00| 414,00| 398,00||
#1|Топор кованый 1.25 кг с фиберглассовым обрезиненным топорищем    |137|39-1-012|1165,00|1125,00|1098,00||norow|| HARDAX <span class="art">арт. 39-1-012</span>|</span></p><UL><LI>Полотно выполнено из усиленной термообработанной инструментальной стали твердостью <b>47-52 HRC</b>.<LI>Фибергласовое обрезиненное топорище обеспечивает амортизацию при ударе и удобно лежит в руке.<LI>Общая длина <b>400 мм</b>, общий вес <b>1.63 кг</b>.</UL><p><span class="addt">||/img/pic/instr/small/39-1-012.jpg|/img/pic/instr/big/39-1-012.jpg
 1|Пилки для лобзика                        |280|3101    |325|317|312||norow|| MPS (Германия) Profi, 100&nbsp;x&nbsp;75&nbsp;x&nbsp;2.5&nbsp;мм <span class=art>арт. 3101</span>|</span></p><UL><LI>древесина, ДСП, пластмасса<LI>толщина реза 4 - 30 мм</UL><p><span class="addt">Упаковка 5 шт. Цена за упаковку.||/img/pic/instr/med/3101-2.jpg|/img/pic/instr/big/3101-2.jpg
 0|Пилки для лобзика MPS Profi 3101, 5 шт.  |280|3101    |325|317|312
 1|Пилки для лобзика                        |280|3102    |315|305|298||norow|| MPS (Германия) Profi, 100&nbsp;x&nbsp;75&nbsp;x&nbsp;2.5&nbsp;мм, обратный зуб <span class=art>арт. 3102</span>|</span></p><UL><LI>ламинированная ДСП, ДВП, древесина, фанера, пластмасса<LI>толщина реза 4 - 30 мм</UL><p><span class="addt">Упаковка 5 шт. Цена за упаковку.||/img/pic/instr/med/3102-2.jpg|/img/pic/instr/big/3102-2.jpg
 0|Пилки для лобзика MPS Profi 3102, 5 шт.  |280|3102    |315|305|298
 1|Пилки для лобзика                        |280|3104    |298|292|288||norow|| MPS (Германия) Profi, 100&nbsp;x&nbsp;75&nbsp;x&nbsp;4.0&nbsp;мм |</span></p><UL><LI>древесина, фанера, ДСП<LI>толщина реза 6 - 60 мм</UL><p><span class="addt">Цена за упаковку.||/img/pic/instr/med/3104-2.jpg|/img/pic/instr/big/3104-2.jpg
 0|Пилки для лобзика MPS Profi 3104, 2 шт.  |280|3104-2  |129|122|115
 0|Пилки для лобзика MPS Profi 3104, 5 шт.  |280|3104    |298|292|288
 1|Пилки для лобзика                        |280|3118-2  |209|202|195||norow|| MPS (Германия) Classic, 100&nbsp;x&nbsp;75&nbsp;x&nbsp;3.0&nbsp;мм, HSS <span class=art>арт. 3118-2</span>|</span></p><UL><LI>черные и цветные металлы, асфальтоцемент, стеклопластик<LI>толщина реза 4 - 10 мм</UL><p><span class="addt">Упаковка 2 шт. Цена за упаковку.||/img/pic/instr/med/3118-2.jpg|/img/pic/instr/big/3118-2.jpg
 0|Пилки для лобзика MPS Classic 3118, 2 шт.|280|3118-2  |209|202|195
#1|Пилки для лобзика|280|3101-2  |139|133|129|||| MPS (Германия) Profi, 100&nbsp;x&nbsp;75&nbsp;x&nbsp;2.5&nbsp;мм <span class=art>арт. 3101-2</span>|</span></p><UL><LI>древесина, ДСП, пластмасса<LI>толщина реза 4 - 30 мм</UL><p><span class="addt">Упаковка 2 шт. Цена за упаковку.||/img/pic/instr/med/3101-2.jpg|/img/pic/instr/big/3101-2.jpg
#1|Пилки для лобзика|280|3102-2  |135|130|126|||| MPS (Германия) Profi, 100&nbsp;x&nbsp;75&nbsp;x&nbsp;2.5&nbsp;мм, обратный зуб <span class=art>арт. 3102-2</span>|</span></p><UL><LI>ламинированная ДСП, ДВП, древесина, фанера, пластмасса<LI>толщина реза 4 - 30 мм</UL><p><span class="addt">Упаковка 2 шт. Цена за упаковку.||/img/pic/instr/med/3102-2.jpg|/img/pic/instr/big/3102-2.jpg
#1|Пилки для лобзика|280|3104-2  |115|111|105|||| MPS (Германия) Profi, 100&nbsp;x&nbsp;75&nbsp;x&nbsp;4.0&nbsp;мм <span class=art>арт. 3104-2</span>|</span></p><UL><LI>древесина, фанера, ДСП<LI>толщина реза 6 - 60 мм</UL><p><span class="addt">Упаковка 2 шт. Цена за упаковку.||/img/pic/instr/med/3104-2.jpg|/img/pic/instr/big/3104-2.jpg
#1|Пилки для лобзика|280|3118-2  |209|202|195|||| MPS (Германия) Classic, 100&nbsp;x&nbsp;75&nbsp;x&nbsp;3.0&nbsp;мм, HSS <span class=art>арт. 3118-2</span>|</span></p><UL><LI>черные и цветные металлы, асфальтоцемент, стеклопластик<LI>толщина реза 4 - 10 мм</UL><p><span class="addt">Упаковка 2 шт. Цена за упаковку.||/img/pic/instr/med/3118-2.jpg|/img/pic/instr/big/3118-2.jpg
#1|Пилки для лобзика|280|555101-2| 89| 82| 78|||| RUNEX, 100&nbsp;x&nbsp;75&nbsp;x&nbsp;2.5&nbsp;мм <span class=art>арт. 555101-2</span>|</span></p><UL><LI>древесина, ДСП, пластмасса<LI>толщина реза 4 - 30 мм</UL><p><span class="addt">Упаковка <b>2</b> шт. Цена за упаковку.||/img/pic/instr/small/runex555101.jpg|/img/pic/instr/big/runex555101.jpg
#1|Пилки для лобзика|280|3103-2  |139|133|129|||| MPS (Германия) Profi, 100&nbsp;x&nbsp;75&nbsp;x&nbsp;4.0&nbsp;мм <span class=art>арт. 3103-2</span>|</span></p><UL><LI>древесина, фанера, ДВП, пластмасса<LI>толщина реза 6 - 60 мм</UL><p><span class="addt">Упаковка 2 шт. Цена за упаковку.||/img/pic/instr/med/3103-2.jpg|/img/pic/instr/big/3103-2.jpg
#1|Пилки для лобзика|280|3103    |255|245|235|||| MPS (Германия) Profi, 100&nbsp;x&nbsp;75&nbsp;x&nbsp;4.0&nbsp;мм <span class=art>арт. 3103</span>|</span></p><UL><LI>древесина, фанера, ламинированная ДСП, ДВП, пластмасса<LI>толщина реза 6 - 60 мм</UL><p><span class="addt">Упаковка <b>5</b> шт. Цена за упаковку.||/img/pic/instr/med/3103-5.jpg|/img/pic/instr/big/3103-5.jpg
#1|Пилки для лобзика|280|3104    |209|198|192|||| MPS (Германия) Profi, 100&nbsp;x&nbsp;75&nbsp;x&nbsp;4.0&nbsp;мм <span class=art>арт. 3104</span>|</span></p><UL><LI>древесина, фанера, ДСП<LI>толщина реза 6 - 60 мм</UL><p><span class="addt">Упаковка <b>5</b> шт. Цена за упаковку.||/img/pic/instr/med/3104-2.jpg|/img/pic/instr/big/3104-2.jpg
#1|Пилки для лобзика|280|3114-F  |575|555|535|||| MPS (Германия) Profi, 132&nbsp;x110&nbsp;x&nbsp;1.2&nbsp;мм (21 TPI), биметалл <span class=art>арт. 3114-F</span> (BOSCH T318AF)|</span></p><UL><LI>сталь и цветные металлы, толщина реза 1.5-3 мм<LI>сэндвич-панели, толщина реза 1.5-65 мм<LI>оргстекло, толщина реза 1.5-10 мм</UL><p><span class="addt">Упаковка <b>5</b> шт. Цена за упаковку.||/img/pic/instr/med/3114-F.jpg|/img/pic/instr/big/3114-F.jpg
#1|Пилки для лобзика|280|3150-F-2|275|260|245|||| MPS (Германия) Profi-Top, 132&nbsp;x110&nbsp;x&nbsp;1.8-2.5&nbsp;мм, биметалл, переменный шаг VARIOZAHN <span class=art>арт. 3150-F-2</span>|</span></p><UL><LI>нерж. сталь, ламинированные ДСП, древесина (в т.ч. с гвоздями)<LI>толщина реза до 90 мм</UL><p><span class="addt">Упаковка 2 шт. Цена за упаковку.||/img/pic/instr/med/3150-F.jpg|/img/pic/instr/big/3150-F.jpg
#1|Пилки для лобзика|280|3150-F  |598|578|568|||| MPS (Германия) Profi-Top, 132&nbsp;x110&nbsp;x&nbsp;1.8-2.5&nbsp;мм, биметалл, переменный шаг VARIOZAHN <span class=art>арт. 3150-F</span>|</span></p><UL><LI>нерж. сталь, ламинированные ДСП, древесина (в т.ч. с гвоздями)<LI>толщина реза до 90 мм</UL><p><span class="addt">Упаковка <b>5</b> шт. Цена за упаковку.||/img/pic/instr/med/3150-F.jpg|/img/pic/instr/big/3150-F.jpg
#1|Пилки для лобзика|280|555102-2| 89| 82| 78|||| RUNEX, 100&nbsp;x&nbsp;75&nbsp;x&nbsp;2.5&nbsp;мм <span class=art>арт. 555102-2</span>|</span></p><UL><LI>древесина, ДСП, пластмасса<LI>толщина реза 6 - 60 мм</UL><p><span class="addt">Упаковка 2 шт. Цена за упаковку.||/img/pic/instr/small/runex555101.jpg|/img/pic/instr/big/runex555101.jpg
#1|Пилки для лобзика|280|555102  |139|133|129|||| RUNEX, 100&nbsp;x&nbsp;75&nbsp;x&nbsp;2.5&nbsp;мм <span class=art>арт. 555102</span>|</span></p><UL><LI>древесина, ДСП, пластмасса<LI>толщина реза 6 - 60 мм</UL><p><span class="addt">Упаковка <b>5</b> шт. Цена за упаковку.||/img/pic/instr/small/runex555101.jpg|/img/pic/instr/big/runex555101.jpg
#1|Полотно для электролобзика|280|78263|145|133|125||| GROSS Е301ВД 110&nbsp;мм x 4&nbsp;мм, Alloy Steel <span class=art>арт. 78263</span>|Упаковка 2 шт. Цена за упаковку.||/img/pic/instr/small/78263.jpg|/img/pic/instr/big/jpg

# 57,cat57|Ножницы по металлу
#1|Ножницы по металлу 290 мм                        |57|2328-SL   |888|888|888||norow||  KRAFTOOL "Alligator", прямой рез, рычажный механизм, удлиненные лезвия CrMo <span class=art>арт. 2328-SL</span>|</span><span class="for">Профессиональные ножницы по металлу с высокомощным рычажным механизмом для прямого проходного реза листовой стали повышенной твердости, нержавеющей стали и цветных металлов</span></p><UL><LI>Лезвия из хромомолибденовой стали (<b>CrMo</b>) закалены токами высокой частоты до твердости <b>62-65 HRC</b>.<LI>Режущая способность: сталь <b>1.0 мм</b>; нержавеющая сталь <b>0.6 мм</b>.<LI>Насечки на режущих кромках препятствуют соскальзыванию материала в процессе реза.<LI>Увеличенная глубина зева облегчает рез твердой стали и обеспечивает рез без заусенцев.<LI>Высокомощный рычажный механизм обеспечивает эффективный точный рез.<LI>Инновационный фиксатор обеспечивает простую фиксацию одной рукой и легкое снятие фиксации сжатием рукояток.<LI>Двухкомпонентные рукоятки из пластика и мягкого эластичного полимера обеспечивают удобный и надежный захват.</UL><p><span class="addt">||/img/pic/instr/small/kraftool_2328-SL.jpg|/img/pic/instr/big/kraftool_2328-SL.jpg
#0|Ножницы по металлу 290 мм KRAFTOOL прямой рез    |57|2328-SL   |888|888|888
 1|Ножницы по металлу 250 мм                        |57|19-3-010  |218|212|202||norow||  HOBBI, прямой рез, пластиковые рукоятки <span class=art>арт. 19-3-010</span>|</span></p><UL><LI>Предназначены для резки листового металла, материалов из углеродистой и нержавеющей стали, цветных металлов и пластика.</UL><p><span class="addt">||/img/pic/instr/small/19-3-010.jpg|/img/pic/instr/big/19-3-010.jpg
 0|Ножницы по металлу 250 мм  HOBBI прямой рез      |57|19-3-010  |218|212|202
 1|Ножницы по металлу 250 мм                        |57|19-6-401  |318|309|288||norow|| HARDAX, прямой рез, обрезиненные рукоятки <span class=art>арт. 19-6-401</span>|</span></p><UL><LI>Изготовлены из инструментальной легированной стали.<LI>Предназначены для резки тонкого металла.</UL><p><span class="addt">||/img/pic/instr/small/Noznicy po metallu HARDAX.jpg|/img/pic/instr/big/Noznicy po metallu HARDAX.jpg
